	B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasmablasts	SMCs	T-cells
17428x15937	4.084101e-10	0.18925104	0.04539076	0.19422624	0.24237455	0.17884944	0.017295653	0.13261226
6092x18054	0.009505412	1.9319805e-10	0.048282336	0.88622326	0.0117007075	1.9397936e-10	0.027799333	0.016489016
16351x7383	0.065480016	0.19988215	0.1010737	0.26405436	0.09760575	0.15613481	0.08573725	0.030032106
5278x15202	0.11546872	0.0949515	0.02285614	0.1350985	0.15099093	0.2335109	0.025348738	0.22177447
9363x21386	2.0888664e-10	0.12600638	0.049378924	0.7580267	0.036303595	0.030284364	2.0907599e-10	2.091813e-10
16740x18549	0.00022892359	0.0074653504	0.00089141174	0.9391352	0.019935625	0.024837827	2.7483718e-10	0.0075056786
19205x14752	0.009298856	0.14359558	0.044823397	0.2342087	0.21258864	0.23132746	0.037362907	0.08679446
7328x14018	0.0036732766	0.004367956	0.0067523387	0.92888194	0.044085704	3.2145323e-10	9.624019e-11	0.012238688
14827x19495	2.1499585e-10	0.0880082	0.016691525	0.7767417	0.056014348	0.018891959	0.024962844	0.018689495
6102x12828	0.008312207	0.13192189	0.028450532	0.5509182	0.120334655	0.113792114	0.018232193	0.02803823
12259x5475	3.0688865e-10	0.00988763	3.062811e-10	0.92750716	0.028454386	0.021608448	0.004228887	0.008313543
14294x12368	1.5507982e-10	0.060113624	0.0015612387	0.7706919	0.0956496	0.016741687	0.010890326	0.0443517
18267x5011	1.6384001e-09	0.062076394	0.020591538	0.45135626	0.13295606	0.24726404	0.07065948	0.015096225
15919x19497	1.7240884e-10	1.730077e-10	0.006849843	0.9283764	0.04064243	0.00906464	0.00816517	0.0069015226
11550x19964	0.008656917	0.11909849	0.011887501	0.48258874	0.24542333	0.08608963	0.023941081	0.0223142
19628x7389	0.036923096	0.17519635	0.09007512	0.3137453	0.10754774	0.12930484	0.13573526	0.011472357
18538x5962	0.05510407	0.17541257	0.12650076	0.30506757	0.065215714	0.19137688	0.08132243	2.0262023e-09
13052x19730	2.1763372e-10	0.010330526	2.182219e-10	0.9577883	0.006743728	0.0026186523	0.020324606	0.0021942237
18941x9526	0.055378348	0.2866962	0.1357026	0.34209982	0.08323915	0.059216972	0.0065545253	0.031112555
12651x14740	0.011045281	0.08955537	0.012344115	0.63227195	0.096433856	0.091794185	0.047537055	0.019018121
5134x19240	1.7625053e-10	0.030775797	1.7653314e-10	0.95811	1.7692178e-10	0.011114224	1.7643956e-10	1.764594e-10
6098x14728	0.0077046454	0.074295826	0.061293803	0.57556146	0.10691234	0.10619591	0.033413213	0.034622777
17828x20926	2.355273e-10	0.0032762825	2.3601973e-10	0.9778367	0.008466487	0.010420587	2.36185e-10	2.3666838e-10
10073x6421	0.002176773	0.013820771	0.0018230389	0.94043636	0.0051159826	0.026457926	0.0061379303	0.00403109
5559x10926	5.7814253e-10	0.050767675	0.006737155	0.6539062	0.10206577	0.11391934	0.040920425	0.03168352
20168x10241	0.030467115	0.30696604	0.029772535	0.3739677	0.07446844	0.09958752	0.039911292	0.04485938
6499x19718	0.002633962	0.032712236	0.0043941075	0.9299291	0.03033064	1.9500275e-10	1.9440004e-10	1.9462487e-10
10869x18775	2.4341745e-10	0.116748855	0.015437687	0.56969965	0.16452006	0.045901954	0.01231743	0.07537444
11009x17113	0.046271168	0.19726126	0.020624403	0.25880024	0.2686173	0.019726282	0.028334115	0.16036522
11978x9750	0.005113454	0.073111534	0.015505156	0.6678101	0.119378746	0.05473824	3.9003495e-10	0.06434279
7063x9741	0.026131056	0.1891071	0.035194676	0.2929587	0.34085938	0.012732788	0.016132006	0.08688427
17991x6436	0.06895891	0.23054269	0.07061232	0.32319507	0.102685496	0.10384919	0.07567259	0.024483792
7188x16156	0.013700567	0.15032308	0.11139595	0.19983937	0.3117484	0.12362859	0.041899532	0.047464527
10619x6422	2.883378e-10	0.039710946	0.0033367714	0.80357146	0.09148562	0.024828894	0.005147816	0.031918503
5556x12827	0.006664442	0.14781924	0.019919205	0.55747354	0.13595784	0.07913072	0.019084109	0.033951025
16338x14509	0.012773707	0.13363123	0.023555478	0.25416598	0.06878486	0.4023775	0.039286505	0.065424785
16612x14035	0.0024366858	0.08938293	0.0014538377	0.7098035	0.04629492	0.1417232	0.0089048315	3.4962888e-10
15532x7381	0.010579339	0.12331927	0.0765519	0.5191482	0.11481388	0.062073298	0.054068718	0.03944547
19211x11427	1.7994635e-10	0.08389406	0.04280299	0.65004504	0.108461455	0.07252985	0.018141361	0.024125323
12924x15216	0.0059939064	0.23271948	0.059190538	0.4203689	0.17126934	0.030689033	0.017096931	0.0626719
17980x12612	1.7791323e-10	1.7805715e-10	1.7758368e-10	0.959131	0.010193212	0.030399447	0.0002763577	1.7814343e-10
14286x16644	0.0060318606	0.06278378	0.0070933253	0.565203	0.22138917	0.03679228	0.018460136	0.08224655
15373x19496	0.0025216735	0.037650827	0.008503573	0.72144693	0.14601983	0.0047133714	0.06144307	0.017700687
11150x14500	0.0029989474	0.02495941	0.0076090703	0.878288	0.060744047	1.3293659e-10	0.008432145	0.016968371
17290x16649	2.6621785e-10	0.022023052	0.009362751	0.7208425	0.20753881	0.016817	2.6626962e-10	0.023415878
18669x9050	0.008307117	0.23081073	0.07071785	0.38313153	0.13378498	0.10853478	0.058154974	0.006558108
6793x7841	0.0068058334	0.016458822	0.022387559	0.8218287	0.046232264	0.01884912	0.019387983	0.048049614
12938x7139	3.957897e-10	0.09679557	0.0321766	0.46852735	0.16851212	0.15581577	0.019820262	0.058352325
5823x15678	0.06874644	0.09341222	0.023766892	0.4304039	0.10922987	0.10737213	0.029744197	0.13732435
10472x11886	0.008867482	0.028240288	0.00426801	0.83856815	0.079266064	0.013292883	0.00027896525	0.02721824
10895x4522	5.7035976e-10	0.028948644	5.692512e-10	0.7923019	0.07959959	0.0771173	0.013081443	0.008951196
11427x12125	2.0356052e-10	0.051453244	0.027801001	0.75984186	0.08279104	0.05091756	0.0026150825	0.024580158
15259x7381	6.0530486e-10	0.21021861	0.12865074	0.34198532	0.17531992	0.09578145	0.0074819503	0.040561955
16346x10234	0.0058194706	0.09134097	0.007524517	0.5204854	0.17309795	0.15652421	0.0058094864	0.039397992
19209x12377	8.75988e-11	8.758393e-11	8.7749134e-11	0.987564	8.7769556e-11	0.012435979	8.752031e-11	8.756155e-11
7732x17107	0.0138739925	0.029702509	0.031398542	0.87520957	3.029404e-10	0.027732098	0.0220833	3.0357258e-10
6116x5226	0.006973785	0.030130234	0.014249897	0.790283	0.09066676	0.038003355	3.398697e-10	0.029692922
19764x7627	9.993192e-10	0.19523919	0.3072622	0.23648833	0.038224578	0.018675836	0.1488888	0.05522107
15808x5482	7.6585716e-10	0.086594805	0.013681324	0.5929502	0.12999155	0.10457226	0.04013289	0.032076906
8009x15207	1.3065132e-10	0.010400537	0.012901893	0.876077	0.08608065	1.3106866e-10	1.3057486e-10	0.014539883
9246x10696	1.9693597e-10	0.018202184	0.0026902286	0.82989115	0.09914984	0.009804117	0.02289312	0.017369322
8549x18534	0.025001012	0.105898604	3.404606e-10	0.8442492	3.3998626e-10	0.022932835	0.0019183169	3.4028858e-10
6924x10929	2.9019373e-10	0.032481123	2.9187236e-10	0.7099944	0.13405295	0.037410125	0.01161906	0.07444242
16198x16172	0.004587757	0.14130884	0.020920148	0.7826377	0.04096614	2.1629286e-10	0.002924058	0.0066553005
12394x6188	0.000550709	0.0129132895	0.008259035	0.90852267	0.04062104	0.024963167	0.0023872259	0.001782915
6371x14729	4.593707e-10	0.083628245	0.0111561045	0.53020597	0.16956356	0.14255305	0.019875001	0.04301806
8163x5468	0.00880521	0.0075570964	0.0033113977	0.804098	0.12370338	1.0238304e-10	0.014098787	0.038426217
7730x18057	0.021397136	2.3260041e-10	0.0029883203	0.9450996	0.013234784	2.3310048e-10	2.3259908e-10	0.017280282
12664x7614	0.0078645935	0.0882861	0.0049901195	0.58706903	0.12809344	0.07847339	0.0010670444	0.1041563
7743x10930	0.0077262223	0.01516298	0.010374103	0.81385565	0.07341125	0.012431636	0.025654646	0.041383572
18930x15702	0.01995158	0.101460055	0.07091983	0.19174309	0.36125454	0.07791636	0.008821369	0.1679332
17028x10472	0.01661432	0.0817389	0.014503118	0.49498168	0.112931386	0.19020301	0.041884836	0.047142804
18944x8100	0.004667869	0.37937802	0.12851867	0.13310306	0.11339731	0.008814535	0.20091304	0.031207558
6635x19955	2.5470975e-10	0.09959502	0.0007084758	0.8015021	0.06072381	0.01606695	0.009663939	0.011739744
10595x19250	3.0873556e-10	0.060094606	0.0034268475	0.7948366	0.107856095	0.01785613	3.0949027e-10	0.015929727
6785x12592	1.1708039e-10	0.041385893	0.012959966	0.8046214	0.106795475	0.004340458	1.1720955e-10	0.029896777
16081x5482	0.017184608	0.1353657	0.024327224	0.6232959	0.07304042	0.09738991	0.018663434	0.0107327765
4997x19477	1.6561132e-10	0.048235245	1.6560278e-10	0.93367326	1.6541779e-10	0.018091505	1.6543482e-10	1.6548281e-10
7613x7367	0.00057889975	0.030287337	0.00039136282	0.8760657	0.048690785	0.012701446	0.003196977	0.028087627
8842x7607	2.350381e-10	0.012125453	0.013758401	0.91845596	0.02940916	0.02050899	2.361345e-10	0.0057420502
5411x17340	0.04184163	0.028714353	0.017971853	0.619855	0.12515488	0.10814403	0.02078422	0.037534058
9365x19960	0.0068178778	0.20511588	0.025028799	0.57096523	0.12895405	0.022062354	0.029002644	0.012053158
18926x17602	9.245628e-10	0.09773914	0.021469044	0.52614933	0.12341589	0.14058599	0.06961629	0.021024322
11546x21865	0.003343921	0.08659161	0.0033606223	0.74440193	0.07184523	0.06567994	0.016169203	0.008607593
16613x13560	2.8756988e-10	0.038207065	0.0057438454	0.8525826	0.049190763	0.047071908	0.0060035707	0.0012002606
13077x5952	1.7388e-10	0.002986625	0.009377556	0.88340884	0.046836328	0.036858235	0.011382135	0.009150269
13070x9752	5.9475413e-10	0.09006289	0.021713624	0.63611615	0.13060123	0.07387671	0.018202404	0.029426992
16064x14984	0.009595184	0.15030515	0.09882169	0.17302088	0.15978962	0.15405712	0.028478844	0.22593157
12256x6900	3.2406633e-09	0.07540199	0.01919587	0.6757157	0.084768005	0.09341	0.025450435	0.026058102
14692x18782	2.3420224e-10	0.11800238	0.021778638	0.48032403	0.11860867	0.23899072	2.3443555e-10	0.022295559
19618x12615	0.0003171337	1.0989438e-10	0.058371145	0.8294316	0.01870621	0.013638588	0.07953541	1.097848e-10
12784x16879	1.2604781e-10	0.014045014	0.0048946547	0.8426074	0.07890892	0.032282155	0.017877525	0.009384389
16077x7858	0.027402833	0.18753302	0.02265444	0.30094013	0.069058776	0.22875902	0.088383175	0.07526857
13467x16642	0.0014640839	0.044445958	0.024819847	0.68291813	0.12799735	0.049032148	0.022914652	0.046407964
10753x7610	0.0061018523	0.014534898	1.7120759e-10	0.88139135	0.043297537	0.030639797	0.0076514925	0.016383076
