	B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasmablasts	SMCs	T-cells
6080x3722	2.5755809e-10	0.04853083	0.051693514	0.64657485	0.096589714	0.06853825	0.0494503	0.038622625
17782x15632	4.5543175e-10	0.16144018	0.024814518	0.25904414	0.25156283	0.20561671	0.017090233	0.080431476
9763x4445	1.6054731e-10	0.00954722	0.0008272834	0.9140833	0.031183593	0.008239098	0.026306622	0.009812834
6447x17734	0.006607849	0.04762902	0.0042337263	0.8764535	0.06507591	3.4106815e-10	3.3960953e-10	3.3994912e-10
16716x7079	4.8302523e-10	0.104218595	0.25011143	0.34439674	0.1420119	0.07902107	0.007925828	0.0723146
5094x13931	0.019218389	0.10693839	0.089324	0.21043524	0.14891385	0.2504193	0.101521656	0.07322918
5637x14882	0.04113012	0.068172954	0.034182135	0.36583343	0.13883153	0.20111592	0.017575959	0.13315803
9712x21069	0.0087077785	0.1355503	0.003370568	0.80255616	0.029502178	0.020313002	2.7202054e-10	2.729535e-10
17091x18242	0.002107437	2.7089342e-10	2.7090272e-10	0.9836216	2.708743e-10	0.014270907	2.70709e-10	2.7098232e-10
19863x4476	1.0461322e-09	0.08423049	0.017994158	0.60557985	0.1834129	0.096522205	1.0468767e-09	0.0122604035
19560x14450	0.03478256	0.09767735	0.025122296	0.3354659	0.2373839	0.1675194	2.9572977e-10	0.102048546
7688x13701	8.0055414e-11	8.007145e-11	0.006697935	0.92315406	0.02803805	0.008458263	7.998246e-11	0.033651803
15178x19186	0.005063712	0.059201214	0.019540409	0.8096008	0.07013957	0.027431114	0.0035534117	0.005469833
6463x12510	1.121058e-10	0.08914616	0.010004158	0.7114132	0.13988468	0.018009996	1.1242786e-10	0.031541787
12627x5167	5.7455185e-10	0.05707799	0.015282219	0.7164732	0.0973881	0.06072438	0.0377455	0.015308636
20000x4239	0.023060253	0.11473568	0.026627233	0.5282399	0.13879186	0.12499474	0.043550335	1.4488323e-09
14653x12060	0.013241814	0.07690782	0.043142933	0.51406366	0.14412522	0.12027256	0.05595823	0.03228782
18634x4710	9.961827e-10	0.094191775	0.01970381	0.5163628	0.16341586	0.15896083	0.029801067	0.017563878
16269x19189	2.0747461e-10	2.0792898e-10	2.0779774e-10	0.9691182	0.0118825445	2.0847264e-10	0.0126004685	0.0063987393
7035x3962	2.1311974e-10	0.005141899	0.0019780828	0.9614867	0.018378254	0.013015056	2.1357552e-10	2.129755e-10
11900x19651	0.016212352	0.005189044	0.013205257	0.834506	0.065232106	0.020686587	0.017760482	0.027208334
19991x7089	0.009503366	0.06694811	0.11012105	0.6219908	0.12341989	0.05378451	0.010819821	0.0034124895
18904x5661	4.780532e-10	0.099063605	0.0384315	0.558461	0.16859163	0.09178671	0.03402358	0.009641906
13403x19418	0.004571228	0.023414137	0.017718844	0.8152496	0.08036572	0.04903883	0.008013233	0.0016284542
19302x9224	0.03151952	0.085002944	0.026147485	0.55665886	0.11935022	0.10715235	0.021612613	0.052556105
13008x14430	0.022331217	0.06063151	0.021108914	0.6501809	0.14037195	0.063558735	0.008601927	0.033214886
5488x18919	0.009830177	0.066115625	0.003931985	0.809891	0.0506911	0.04982415	0.0016820984	0.008033978
6457x14410	0.029465634	0.07132735	0.12602338	0.4151343	0.060438395	0.20388001	0.032427236	0.06130367
18176x20620	0.004982708	0.011345886	1.3952117e-10	0.94243836	0.035022736	1.4014608e-10	0.00621027	1.3984114e-10
16453x3753	6.538567e-10	0.023801448	0.005097418	0.7448603	0.109187156	0.07236475	0.044688925	6.5440076e-10
10440x6110	3.964954e-10	0.040371656	0.0048172115	0.74262875	0.0925807	0.039949384	0.012853615	0.066798665
5923x10608	0.009222916	0.17382231	0.04311456	0.38774824	0.15289907	0.051467884	0.015893618	0.16583142
6851x19398	0.006953503	0.06370479	0.0045356886	0.8760814	0.048426665	2.5955751e-10	2.5974276e-10	0.00029787392
11222x18461	0.024203934	0.06476806	3.1329866e-10	0.7011148	0.15603566	0.0035638823	0.018363874	0.03194982
11363x16799	2.818096e-10	0.03191163	0.004331313	0.72629416	0.11739808	0.051876105	0.020256422	0.047932368
12341x9440	0.0010029424	3.176175e-10	0.006099313	0.95413387	0.0045241183	0.034239694	3.1726088e-10	3.17348e-10
7428x9425	2.0761806e-10	0.05712009	0.015492657	0.58854556	0.22999993	0.020694274	0.011830178	0.07631723
18357x6134	0.009054898	0.15133364	0.04304025	0.44098678	0.21917929	0.046804454	0.022065194	0.06753543
19183x3762	0.003624348	0.079072796	0.02599093	0.6342	0.11572831	0.14138359	1.5459259e-09	1.5432243e-09
7545x15838	0.013090513	0.015217459	2.2552764e-10	0.83224964	0.10910604	2.2539129e-10	2.2480182e-10	0.03033635
10986x6111	0.013327501	0.08158281	0.00804342	0.7649109	0.060094193	0.06809954	5.168121e-10	0.003941649
5917x12508	0.010777686	0.14879169	0.017975144	0.48559606	0.13005808	0.16228634	2.485703e-10	0.04451497
16694x14203	0.04109809	0.098866716	0.041958034	0.4818742	0.076084375	0.17414187	0.057876207	0.028100552
16968x13729	1.448285e-10	1.4484232e-10	1.4472218e-10	0.95236725	0.0077751395	0.03030983	0.009547668	1.449711e-10
15897x7076	3.257581e-10	0.052959338	0.34478116	0.3101929	0.042883787	0.02817488	0.072249815	0.14875813
19570x11125	9.981656e-11	0.00092785875	9.991713e-11	0.99432635	2.0411178e-05	0.0047254325	9.9932194e-11	1.002776e-10
13280x14905	0.0037477752	0.08622807	0.22445501	0.4065856	0.06811167	0.06607817	0.11782529	0.026968358
18338x12309	1.83247e-10	0.015423148	0.0027195276	0.85288966	0.068919756	0.026669506	0.018176185	0.015202233
14640x16334	1.7262815e-10	0.06134221	0.008649048	0.7071572	0.09889884	0.05958164	0.02032375	0.044047378
