	xcoord	ycoord
Landmark_0	8560.63980276286	10233.855764211963
Landmark_1	10039.295768694627	13463.55168979977
Landmark_2	14125.055674558718	14903.29565662807
Landmark_3	19222.527557112968	12879.871703247756
Landmark_4	17393.66359924999	9727.999775866885
Landmark_5	12023.80772297147	5486.591873588924
Landmark_6	8404.99180634899	6926.335840417223
Landmark_7	2840.5759345531305	6926.335840417223
Landmark_8	4319.231900484898	6615.039847589483
Landmark_9	6264.831855658274	6303.743854761742
Landmark_10	5720.063868209729	4669.439892416105
Landmark_11	11206.655741798653	4085.759905864092
Landmark_12	8833.023796487132	5797.887866416664
Landmark_13	5369.8558762785215	10895.359748970912
Landmark_14	8521.727803659393	14319.615670076057
Landmark_15	8015.871815314314	12062.719722074939
