	xcoord	ycoord
Landmark_0	14191.55185130373	18477.591001026332
Landmark_1	12667.626820291249	26192.461470527018
Landmark_2	15334.49562456309	36574.200744299545
Landmark_3	22192.158264119254	41336.46646621355
Landmark_4	28002.12244485434	36002.72885766986
Landmark_5	33335.86005339802	23525.592666255176
Landmark_6	19811.025403162253	13429.58933579749
Landmark_7	12762.872134729529	7905.361098377245
Landmark_8	17810.873799958372	8953.059557198325
Landmark_9	21525.441063051294	10096.003330457686
Landmark_10	21906.422320804413	7905.361098377245
Landmark_11	34669.29445553394	11810.418990346727
Landmark_12	27906.87713041606	12286.645562538128
Landmark_13	11619.928361470167	17239.401913328693
Landmark_14	8286.342356130366	27335.40524378638
Landmark_15	12858.117449167808	22858.875465187215
