	xcoord	ycoord
Landmark_0	17620.383171081812	15334.49562456309
Landmark_1	14191.55185130373	23335.102037378616
Landmark_2	14477.287794618569	34574.04914109566
Landmark_3	20858.723861983333	40479.25863626903
Landmark_4	26668.68804271842	36574.200744299545
Landmark_5	34955.03039884878	26287.706784965296
Landmark_6	24668.536439514537	12953.362763606088
Landmark_7	20572.987918668492	3809.8125775312024
Landmark_8	23335.102037378616	6667.172010679605
Landmark_9	26382.952099403577	11143.701789278768
Landmark_10	27811.631815977777	7143.398582871005
Landmark_11	39431.560177447944	14382.04248018029
Landmark_12	32097.67096570038	13620.079964674049
Landmark_13	14858.26905237169	14382.04248018029
Landmark_14	10381.739273772526	23430.347351816894
Landmark_15	14858.26905237169	19525.289459847412
