	xcoord	ycoord
Landmark_0	14001.06122242717	17334.64722776697
Landmark_1	10572.229902649087	24573.291125076255
Landmark_2	10191.248644895966	35145.52102772534
Landmark_3	16096.45814006933	42193.67429615807
Landmark_4	21906.422320804413	38764.84297637999
Landmark_5	31049.9725068793	27906.87713041606
Landmark_6	20953.969176421615	14382.04248018029
Landmark_7	18382.34568658805	5714.718866296804
Landmark_8	20763.47854754505	9524.531443828006
Landmark_9	22382.648892995814	13524.834650235769
Landmark_10	24478.045810637977	8857.814242760045
Landmark_11	35812.2382287933	16191.703454507611
Landmark_12	29526.04747586682	16286.948768945891
Landmark_13	11334.192418155328	16286.948768945891
Landmark_14	6857.662639556164	24668.536439514537
Landmark_15	11334.192418155328	21525.441063051294
