	xcoord	ycoord
Landmark_0	15239.25031012481	16382.19408338417
Landmark_1	11238.947103717048	24192.309867323136
Landmark_2	11524.683047031887	34288.31319778082
Landmark_3	17525.13785664353	41145.975837336984
Landmark_4	22858.875465187215	37621.89920312062
Landmark_5	32764.38816676834	26859.17867159498
Landmark_6	22477.894207434096	13905.815907988888
Landmark_7	18477.591001026332	5333.737608543684
Landmark_8	21906.422320804413	9143.550186074886
Landmark_9	24573.291125076255	12667.626820291249
Landmark_10	26668.68804271842	7048.153268432725
Landmark_11	37050.42731649095	16763.175341137292
Landmark_12	29716.53810474338	15239.25031012481
Landmark_13	12572.381505852969	15524.98625343965
Landmark_14	8000.606412815525	24192.309867323136
Landmark_15	13334.34402135921	20572.987918668492
