	xcoord	ycoord
Landmark_0	9562.529700682571	10324.484258505885
Landmark_1	11848.393374152509	12686.543387758153
Landmark_2	16420.120721092386	13448.497945581466
Landmark_3	19810.818503406124	10972.1456326557
Landmark_4	17067.7820952422	8533.8910476211
Landmark_5	11315.02518367619	5676.561455783678
Landmark_6	8000.5228571447815	7429.056938777297
Landmark_7	3162.111414966747	8571.988775512265
Landmark_8	4076.4568843547218	7886.2296734712845
Landmark_9	5600.366000001347	6857.591020409813
Landmark_10	5867.050095239506	5828.952367348341
Landmark_11	10743.559265308706	3885.9682448988938
Landmark_12	8610.086503403432	6209.929646259997
Landmark_13	6362.32055782466	11848.393374152509
Landmark_14	10400.679714288215	14096.159319731281
Landmark_15	9219.650149662082	12115.07746939067
