	xcoord	ycoord
Landmark_0	8762.477414968094	11124.536544220362
Landmark_1	11543.611551023185	12800.83657143165
Landmark_2	15277.188884357416	12153.175197281835
Landmark_3	19277.450312929806	8724.379687076927
Landmark_4	15658.166163269072	6590.906925171653
Landmark_5	10819.754721091038	5181.290993198525
Landmark_6	6667.102380953985	8495.793319729935
Landmark_7	1904.8863945582814	11315.02518367619
Landmark_8	2781.1341360550905	10324.484258505885
Landmark_9	4038.3591564635562	8876.770598641591
Landmark_10	3428.7955102049063	7619.5455782331255
Landmark_11	7886.2296734712845	4419.336435375212
Landmark_12	6514.711469389322	7162.372843539138
Landmark_13	5981.343278913003	13486.595673472631
Landmark_14	10705.461537417541	14286.64795918711
Landmark_15	8724.379687076927	12610.347931975823
