	x_coord	y_coord
Landmark_0	446.76	483.99
Landmark_1	231.65333333333334	748.7366666666667
Landmark_2	285.43	1203.77
Landmark_3	496.4	1443.6966666666667
Landmark_4	603.9533333333334	1352.69
Landmark_5	988.6633333333333	881.11
Landmark_6	678.4133333333333	388.8466666666667
Landmark_7	591.5433333333333	16.546666666666667
Landmark_8	653.5933333333334	186.15
Landmark_9	728.0533333333333	364.02666666666664
Landmark_10	864.5633333333334	91.00666666666666
Landmark_11	1195.4966666666667	442.62333333333333
Landmark_12	905.9300000000001	384.71
Landmark_13	326.7966666666667	405.3933333333333
Landmark_14	70.32333333333334	719.78
Landmark_15	301.9766666666667	624.6366666666667
