	xcoord	ycoord
Landmark_0	5298.285714285716	6618.209523809525
Landmark_1	4554.666666666668	8254.171428571432
Landmark_2	2193.676190476191	6934.247619047621
Landmark_3	2472.533333333334	4145.676190476192
Landmark_4	3290.5142857142864	5279.69523809524
Landmark_5	4554.666666666668	3773.8666666666677
Landmark_6	5372.6476190476205	4368.7619047619055
Landmark_7	6172.0380952380965	3941.1809523809534
Landmark_8	7231.69523809524	5670.095238095239
Landmark_9	8347.123809523811	4926.476190476192
Landmark_10	8216.990476190478	6581.028571428573
Landmark_11	6339.352380952383	8086.857142857145
Landmark_12	6655.390476190478	6599.6190476190495
Landmark_13	3904.000000000001	6599.6190476190495
